epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4067,0.63012,2.53993,1.19243,0.0025,1,0.9125,0.54942,0.43052,3.16253,1.02224,4e-05,4e-05,4e-05
2,23.2904,0.51333,2.50858,1.03845,0.0025,1,0.995,0.863,0.25423,3.09134,0.85725,9.802e-05,9.802e-05,9.802e-05
3,33.6428,0.34949,1.97905,0.99133,0.0025,1,0.995,0.8729,0.22588,3.03934,0.79326,0.000153664,0.000153664,0.000153664
4,45.5914,0.29636,1.75395,0.88725,0.0025,1,0.9125,0.88775,0.28868,2.88346,0.83858,0.000206932,0.000206932,0.000206932
5,57.5198,0.39507,1.31683,0.95799,0.56944,1,0.9125,0.863,0.33062,2.78267,0.91711,0.000257824,0.000257824,0.000257824
6,68.0156,0.351,1.27035,0.93601,0.91367,0.66667,0.863,0.8432,0.34532,2.59307,0.97688,0.00030634,0.00030634,0.00030634
7,78.2444,0.32455,0.96851,0.91238,0.89975,0.66667,0.9125,0.83825,0.39823,2.64817,0.9156,0.00035248,0.00035248,0.00035248
8,88.8414,0.444,1.22213,0.99642,0.79372,0.66667,0.9125,0.81325,0.44807,2.60882,0.98622,0.000396244,0.000396244,0.000396244
9,99.2781,0.38261,1.00027,0.91905,0.91654,1,0.995,0.8295,0.71989,2.55818,1.43474,0.000437632,0.000437632,0.000437632
10,108.896,0.38623,0.97255,0.93336,0.94999,1,0.995,0.70242,1.10437,2.34225,2.55945,0.000476644,0.000476644,0.000476644
11,118.933,0.44441,1.12898,1.00237,0.97249,1,0.995,0.75342,0.85463,2.75748,2.07133,0.00051328,0.00051328,0.00051328
12,129.358,0.44508,1.09189,0.97672,1,0.60038,0.995,0.81325,0.68975,2.83942,1.49258,0.00054754,0.00054754,0.00054754
13,139.606,0.35788,1.01743,0.9485,1,0.80467,0.995,0.8295,0.60578,2.77871,1.13944,0.000579424,0.000579424,0.000579424
14,150.785,0.46168,1.06249,0.94876,0.9721,0.66667,0.9125,0.82125,0.51499,2.63821,1.0849,0.000608932,0.000608932,0.000608932
15,165.139,0.49809,1.14147,1.06457,0.9721,0.66667,0.9125,0.82125,0.51499,2.63821,1.0849,0.000636064,0.000636064,0.000636064
